,Outcome Measures,count,enrolled
537,The relapse-free period|The need for surgical intervention|The need for the use of basic drug therapy|Adverse effects associated with the therapy,1,60
538,Time to clinical improvement (days)|Increase in Lymphocytes counts|Decrease in D-dimer|Decrease in LDH level|Decrease in Ferritin concentration|Decrease in C-reactive protein|Adverse events,1,60
539,"Change in the WOMAC(Western Ontario and McMaster University Osteoarthritis Index) total score at post-dose 52 weeks from baseline|Change amount of WOMAC total score at post-dose 24 weeks from the baseline|Chage amount of WOMAC score by item (pain, stiffness, physical function) at post-dose 24 weeks and 52 weeks from the baseline|Chage amount of 100-mm VAS((Visual Analogue Scale) at post-dose 1 week, 4 weeks, 8 weeks, 12 weeks, 24 weeks and 52 weeks from the baseline|Chage amount of IKDC(International Knee Documentation Committee) at post-dose 1 week, 4 weeks, 8 weeks, 12 weeks, 24 weeks and 52 weeks from the baseline|Change in the WOMAS(whole-organ magnetic resonance imaging score) at post-dose 52 weeks from the baseline|Change in T2 mapping at post-dose 52 weeks from the baseline|Change in K&L grade, joint space width, mechanical axis, and anatomical axis at post-dose 52 weeks from the baseline|Change amount of biomarkers at post-dose 1 week, 4 weeks, 8 weeks, 12 weeks, 24 weeks and 52 weeks against the baseline; serum CTX-I, Serum HA, Serum MMP-3, Urine CTX-I, Urine CTX-II.|Percentage of patients who took the rescue drugs and dosage at post-dose 1 week, 4 weeks, 8 weeks, 12 weeks, 24 weeks and 52 weeks",1,90
540,Change in VO2max|Left ventricular viability|NYHA/CCS class|Quality of life (Minnesota questionnaire)|VO2 max|6'walking-test|Echocardiography|Myocardial perfusion imaging|BNP blood test,1,90
541,"Number of participants without any infusional toxicity, occurring within 24 hours of infusion.|Number of participants without any acute rejection, graft loss, or death at 6 months post transplant.",1,24
542,"Evaluation of surviva|Evaluation of proliferation|Evaluation of apoptosis, phenotype, function of cells|Evaluation of phenotype",1,200
543,Transplant free survival (TFS)|Survival rate|Change amount of Child-Pugh score|Change amount of MELD score|Change amount of Liver function test|Change amount of Fibrosis-4|Change amount of FibroScanⓇ|Change amount of EQ-5D|Change amount of EQ-VAS,1,200
544,"Tolerability and acute safety of AdMSC infusion by assessment of the total number of AEs/SAEs related and non-related with the medication|The overall proportion of subjects who develop any AEs/SAEs related and non-related with the AdMSC infusions as compared to the control group|COVID-19 incidence rates in both the study and control groups|The proportion of subjects who are infected by SARS-Cov-2 measured by PCR or other nuclear level-based SARS-Cov-2 virus testing in respiratory tract specimens (oropharyngeal samples) collected by oropharyngeal swab using the CDC standard method.|The proportion of subjects who are infected by SARS-Cov-2 virus develop symptoms including mild, classic, severe and critical sever cases between study group and control group.|Change of proportion of subjects who are infected by SARS-Cov-2 and develop IgM/IgG antibodies against SARS-Cov-2 between study group and control group.|Change of lymphocyte count in white blood cell counts from the baseline|Change of PaO2 arterial blood gases from the baseline|Compare the proportion of subjects who develop severe COVID-19 pneumonia cases for both study and control groups|COVID-19 mortality rates for both study and control groups|Change of C-reactive protein (CRP) (mg/L) from the baseline|Change of D-dimer (mg/L) from the baseline|Change of Procalcitonin (ug)/L from the baseline|Change of pro-type B natriuretic peptide (pro-BNP) (pg/mL) from the baseline|Change of Bilirubin (mg/dL) from the baseline|Change of Creatinine (mg/dL) from the baseline|Change in blood test values for cytokine panels (IL-1β, IL-6, IL-8, IL-10, TNFα) from the baseline|The proportion of subjects from SARS-CoV-2 RT-PCR positive to negativity in respiratory tract specimens (oropharyngeal samples) collected by oropharyngeal swab using the CDC standard method. as compared to control group|Quantifying viral RNA in stool for baseline and final follow-up.",1,200
545,"Complete wound closure at Week 18 already persisting for at least two weeks|Assessment of adverse event (AE) occurrence|Wound size change in percent at each post-baseline follow-up visit|Time to complete wound closure|Complete wound closures at each post-baseline follow-up visit|Duration of wound closure|Recurrence of the wound|Quality of wound healing (wound exudate) at each post-baseline follow-up visit|Quality of wound healing (granulation tissue together with epithelialization) at each post-baseline follow-up visit|Quality of wound healing (scar formation) at each post-baseline follow-up visit|Assessment of Quality of Life using the Wound-Quality of Life Questionnaire at V8, V11, V14|Pain assessment as per numerical rating scale on each post-baseline efficacy follow-up visit|Physical examination and vital signs at V14",1,200
546,Any composite of major adverse cardiovascular events|Checking patient LVEF|Checking patient infarct size|checking patient perfusion defect.|Coronary disease|Coronary congestive heart failure|Coronary changes in hsCRP,1,200
547,Liver function|The incidence of serious complications|The incidence of adverse events|Disease-free survival time|Incidence of hepatocellular carcinoma (HCC) events,1,200
548,"Nature, incidence and severity of adverse events (AEs)|Change in Numerical Rating Scale (NRS)|Change in joint swelling|Change in the 36-Item Short Form Survey (SF-36)|Change in Knee injury and Osteoarthritis Outcome Score (KOOS)|Change in the International Knee Documentation Committee (IKDC 2000)|Change in cartilage morphology|Change in cartilage T2 relaxation time mapping in MRI|Changes in bone marrow edema-like lesions (BMLs)|Change in weight distribution on stable platform|Change in Range of motion (ROM)|Change in ultrasonographic findings in knee joint",1,200
549,Proportion of modified Rankin Scale (mRS) 0-2|changes in Fugl-Meyer scale|changes in Purdue hand function test|changes in box and block test|Proportion of modified Rankin Scale (mRS) 0-1|changes in the national institutes of health stroke scale (NIHSS)|changes in Mini-mental State Examination (MMSE) score|changes in Montreal Cognitive Assessment (MoCA) score|The changes of head images|changes in some serum biomarkers,1,200
550,Percentage of Participants with Treatment Success|Percentage of Participants with Overall Response|Percentage of Participants with Induction of a 2-grade decrease in (Graft Versus Host Disease) GVHD by Study Day 28 with maintenance of a 2-grade decrease in GVHD through Study Day 56|Percentage of Participants with Induction of CR lasting for greater than or equal to 14 Days|Percentage of Participants with Induction of a CR after Study Day 28 and clinically managed with steroids with second line/escalation therapy through Study Day 56|Percentage of Participants with Induction of PR during the first 28 days|Time to achieve CR|Number of CR per organ|Total corticosteroid dose administered|Number of corticosteroid-related complications|Number of Infectious complications|Number of Days of Hospitalization|Average Daily Corticosteroid Dose,1,192
551,Overall Response Rate (ORR) at Day 28 Post Initiation of Therapy|Cumulative relapse incidence|cumulative incidence of chronic GVHD at one year|Cumulative Incidence of Infectious Complications|Cumulative Incidence of lymphoproliferative disease,1,182
552,Total Atheroma Volume|MACE (Major Adverse Cardiovascular Events)-Free Survival|Per Cent of Fibro-fatty Component|Event Free Survival|Restenosis Rate|Late Definite Thrombosis|Coronary Vasomotion - Mean Lumen Diameter After Infusion of Acetylcholine 10-6 M|Per Cent Atheroma Volume|Target Lesion Revascularization|Per Cent of Fibrous Component|Per Cent of Necrotic Core|Per Cent of Calcium|Minimal Lumen Diameter|MACE|Cardiac Death|TLR (Target Lesion Revascularization)|TVR (Target Vessel Revascularization)|Mean Number of Membrane Defects on Membrane of Red Blood Cells,1,180
553,Oxygen requirement 3 days after transplantation|Oxygen requirement 7 days after transplantation|Duration of ventilator dependence|Incidence of severe BPD|Survival rate|Temperature|Heart rate|Respiratory rate|Duration of CPAP treatment|Percentage of participants treated with steroids for weaning from ventilator|Growth velocity (Z-score)|bronohoalveolar lavage (BAL) cytokine level|The severity of BPD in X-ray patterns,1,180
554,Incidence of adverse reaction|TTCI|28-day mortality|Murray lung injury score|PaO2/FiO2|SOFA score|ApachⅡ score|The number of days the survivor was in ICU,1,169
555,Incidence rate of biopsy-proven acute rejection and early renal function recovery|Patient and graft survival and prevalence of adverse events,1,165
556,Proportions of subjects who achieved complete wound closure|Time taken to complete wound closure between the two groups|Proportions of subjects who achieved complete wound closure by the classification of Wagner Grade between the two groups|Change rates in wound size and depth compared to baseline between the two groups|Proportions of subjects who achieved complete wound closure at every visit by the classification of ulcer locations,1,164
557,Change on the Socialization and Communication Subscale Standard Scores on the Vineland Behavior Scales|Change in VABS-3 Socialization Standard Score|Change in VABS-3 Communication Standard Score|Change in CGI-Severity score|CGI-Intervention score|Change in the Pediatric Quality of Life Scale,1,164
558,"Quantify myocardium metabolic and perfusion measured by F-18-fluorodeoxyglucose (F-18-FDG) postremission tomography (PET) and 99 mTctetrofosmine single-photon (SPET), as well as global left ventricular ejection fraction measured by echocardiography.|Secondary endpoints: safety will be determined by the assessment of major adverse coronary events (MACE).",1,160
559,The safety of allogenic umbilical cord-derived mesenchymal stem cell administration for the treatment of hormone deficiency in male|Testosterone levels|Changes in sexual life quality using Aging Men Symptom (AMS)|Changes in sexual life quality through quantification of International Index of Erectile Function (IIEF)|Changes in sexual life quality through quantification of Sexual Quality of Life Questionnaire (SQoL-M),1,158
560,Short-term therapeutic effects of transplantation.|Long-term outcomes of transplantation.,1,158
561,ORR|OS|DFS|Response rate|EBV DNA-emia|CMV DNA-emia|PGF,1,152
562,Changes in cellular properties of mesenchymal stromal cells|Number of differential biomarkers in mesenchymal stromal cells,1,150
563,Change in bone width|Pain postoperatively in the two different treatments|Radiological examination of bone volume,1,150
